x,1.00E+00,1.00E+00,9.98E-01,9.94E-01,9.81E-01,9.70E-01,9.59E-01,9.46E-01,9.35E-01,9.24E-01,9.09E-01,8.90E-01,8.75E-01,8.54E-01,8.30E-01,8.02E-01,7.72E-01,7.25E-01,6.49E-01,6.05E-01,5.88E-01,5.74E-01,5.73E-01
y,1.00E+00,1.00E+00,9.98E-01,9.94E-01,9.80E-01,9.68E-01,9.56E-01,9.44E-01,9.31E-01,9.19E-01,9.00E-01,8.88E-01,8.65E-01,8.42E-01,8.17E-01,7.87E-01,7.53E-01,7.02E-01,6.18E-01,5.59E-01,5.26E-01,5.04E-01,5.01E-01
