x,1.00E+00,1.00E+00,9.98E-01,9.93E-01,9.81E-01,9.67E-01,9.51E-01,9.45E-01,9.35E-01,9.30E-01,9.18E-01,9.02E-01,8.90E-01,8.70E-01,8.51E-01,8.26E-01,8.00E-01,7.58E-01,6.80E-01,6.34E-01,6.01E-01,5.79E-01,5.76E-01
y,1.00E+00,1.00E+00,9.72E-01,9.31E-01,8.92E-01,8.09E-01,6.74E-01,6.30E-01,6.10E-01,6.01E-01,6.06E-01,6.14E-01,6.18E-01,6.32E-01,6.36E-01,6.43E-01,6.47E-01,6.62E-01,6.76E-01,6.83E-01,6.99E-01,7.03E-01,7.12E-01
